date,open,high,low,close,volume
2025-09-01,3869.746,3879.045,3853.658,3875.53,74770953600
2025-09-02,3877.086,3885.315,3828.678,3858.133,76261883300
2025-09-03,3865.286,3868.388,3794.884,3813.557,64566851000
2025-09-04,3807.757,3808.396,3732.84,3765.876,71022793300
2025-09-05,3761.88,3817.159,3745.309,3812.514,62622338000
2025-09-08,3811.669,3833.143,3803.603,3826.841,66006689800
2025-09-09,3816.657,3834.671,3791.724,3807.292,60023938000
2025-09-10,3806.584,3826.996,3794.057,3812.221,53453982500
2025-09-11,3806.056,3875.309,3796.435,3875.309,61701293000
2025-09-12,3875.507,3892.738,3866.539,3870.598,70064178400
2025-09-15,3876.097,3879.737,3855.973,3860.504,64479394400
2025-09-16,3865.98,3876.69,3838.648,3861.865,67343972300
2025-09-17,3854.073,3882.669,3848.946,3876.341,66343471300
2025-09-18,3876.059,3899.959,3800.995,3831.656,87602738900
2025-09-19,3830.444,3843.17,3811.903,3820.089,68229261300
2025-09-22,3822.01,3831.74,3806.202,3828.576,56832568600
2025-09-23,3830.138,3838.606,3774.528,3821.833,70190286800
2025-09-24,3804.483,3854.923,3804.328,3853.642,60205667000
2025-09-25,3852.431,3866.106,3840.459,3853.302,58995053100
2025-09-26,3839.855,3856.606,3828.106,3828.106,55127533500
2025-09-29,3828.166,3881.002,3809.535,3862.532,60846639900
2025-09-30,3869.705,3887.57,3866.281,3882.777,56973463100
2025-10-09,3898.307,3936.576,3885.744,3933.972,72521850100
2025-10-10,3915.475,3933.005,3886.305,3897.028,71891767300
2025-10-13,3800.106,3895.83,3800.106,3889.502,70950610100
2025-10-14,3910.783,3918.436,3851.121,3865.229,80083963100
2025-10-15,3867.536,3912.291,3857.667,3912.21,64501295500
2025-10-16,3900.683,3931.05,3899.167,3916.228,59545149100
2025-10-17,3912.04,3921.065,3835.365,3839.755,61756301800
2025-10-20,3865.552,3877.722,3850.367,3863.893,54926171200
2025-10-21,3870.749,3919.318,3868.145,3916.332,59941571300
2025-10-22,3896.074,3918.592,3893.325,3913.758,54311734400
2025-10-23,3904.159,3926.217,3877.529,3922.41,56518926400
2025-10-24,3929.115,3950.312,3928.96,3950.312,56785844300
2025-10-27,3969.22,3999.067,3963.102,3996.945,63758954500
2025-10-28,3986.891,4010.728,3976.833,3988.224,57735768400
2025-10-29,3990.266,4016.331,3986.941,4016.331,61291746600
2025-10-30,4007.821,4025.705,3984.828,3986.901,66848560900
2025-10-31,3985.064,3986.743,3951.731,3954.79,67561540600
2025-11-03,3954.078,3977.305,3937.022,3976.521,64124594500
2025-11-04,3973.458,3985.882,3938.52,3960.186,61549379200
2025-11-05,3922.584,3979.754,3922.584,3969.248,61499161800
2025-11-06,3973.349,4008.799,3973.349,4007.76,62736754700
2025-11-07,3994.317,4012.005,3993.691,3997.556,59650703400
2025-11-10,4001.794,4018.696,3990.836,4018.597,63404999300
2025-11-11,4023.877,4024.939,3991.516,4002.758,58199492100
2025-11-12,3996.565,4020.378,3980.676,4000.14,58619322800
2025-11-13,3996.514,4030.398,3994.771,4029.501,61303106100
2025-11-14,4007.126,4034.079,3990.307,3990.492,62201711800
2025-11-17,3988.556,3992.404,3958.948,3972.035,59201795000
2025-11-18,3962.444,3966.885,3926.589,3939.813,59441104600
2025-11-19,3937.92,3960.052,3930.075,3946.742,53114960100
2025-11-20,3960.699,3967.971,3927.512,3931.051,53474954000
2025-11-21,3896.665,3912.006,3834.749,3834.891,63164625100
2025-11-24,3848.657,3854.331,3816.576,3836.766,50460171600
2025-11-25,3850.571,3882.03,3845.138,3870.023,47872761100
2025-11-26,3867.429,3879.923,3861.177,3864.184,45758975500
2025-11-27,3867.197,3895.589,3864.131,3875.259,44402194700
2025-11-28,3870.944,3888.889,3856.25,3888.596,44993197300
2025-12-01,3894.213,3914.464,3890.949,3914.006,53755413300
2025-12-02,3908.456,3908.769,3888.328,3897.712,45558449400
2025-12-03,3894.156,3901.696,3869.953,3878.0,48561727000
2025-12-04,3879.742,3888.86,3859.049,3875.793,44504029000
2025-12-05,3873.121,3907.782,3863.314,3902.808,50036876800
2025-12-08,3909.226,3936.311,3904.738,3924.078,54734978900
2025-12-09,3916.509,3923.899,3902.128,3909.522,52453825600
2025-12-10,3901.128,3906.116,3876.475,3900.496,49733150400
2025-12-11,3903.895,3904.963,3862.821,3873.318,52565860000
2025-12-12,3869.413,3891.807,3850.597,3889.346,57394713000
2025-12-15,3865.402,3896.977,3863.63,3867.921,50092279000
2025-12-16,3861.515,3862.427,3815.844,3824.812,51249482700
2025-12-17,3822.509,3881.752,3817.996,3870.278,51231369200
2025-12-18,3857.257,3888.285,3856.423,3876.371,46117262500
2025-12-19,3878.227,3902.671,3871.777,3890.448,51351189300
2025-12-22,3900.535,3920.012,3900.515,3917.364,52293899200
2025-12-23,3919.106,3937.127,3910.745,3919.979,52115695200
2025-12-24,3920.347,3947.041,3912.311,3940.947,47489644700
2025-12-25,3937.72,3964.073,3936.078,3959.621,46931309300
2025-12-26,3957.833,3977.706,3945.524,3963.679,55548959200
2025-12-29,3964.651,3983.979,3956.946,3965.28,56368719700
2025-12-30,3947.871,3979.99,3947.419,3965.116,52593258800
2025-12-31,3968.726,3977.536,3955.487,3968.84,49075149000
2026-01-05,3986.972,4025.263,3983.576,4023.417,59695045500
2026-01-06,4026.016,4083.667,4025.088,4083.667,70247227000
2026-01-07,4083.843,4098.777,4069.436,4085.772,68338435200
2026-01-08,4077.715,4093.872,4067.122,4082.979,66613133700
2026-01-09,4086.762,4121.723,4083.616,4120.426,72983798500
2026-01-12,4134.893,4168.357,4119.879,4165.287,83945608900
2026-01-13,4169.704,4179.702,4126.234,4138.759,86838271700
2026-01-14,4138.645,4190.866,4103.621,4126.093,95255128900
2026-01-15,4106.224,4133.073,4096.85,4112.601,68025079100
2026-01-16,4127.063,4140.225,4091.811,4101.913,76358846500
2026-01-19,4090.719,4126.518,4090.057,4114.0,68890587000
2026-01-20,4116.366,4128.93,4080.294,4113.649,73436249600
2026-01-21,4103.529,4135.959,4103.529,4116.94,66698950700
2026-01-22,4126.072,4140.838,4109.923,4122.576,70969540900
2026-01-23,4130.108,4143.75,4120.204,4136.164,78211545400
2026-01-26,4144.778,4160.985,4124.7,4132.605,88743973100
2026-01-27,4125.216,4158.802,4101.83,4139.904,75499086900
2026-01-28,4150.215,4170.147,4138.019,4151.238,82302674800
